testno,date,word,answer,score
1,2020-10-08,into,into,1
2,2020-10-08,male,male,1
2,2020-10-08,make,make,1
3,2020-10-08,their,their,1
3,2020-10-08,hike,hike,1
3,2020-10-08,into,into,1
3,2020-10-08,other,other,1
3,2020-10-08,them,them,1
3,2020-10-08,people,people,1
3,2020-10-08,pipe,pipe,1
3,2020-10-08,still,still,1
3,2020-10-08,were,were,1
3,2020-10-08,water,water,1
3,2020-10-08,number,number,1
3,2020-10-08,mad,mad,1
3,2020-10-08,some,some,1
3,2020-10-08,now,now,1
3,2020-10-08,choose,chose,0
3,2020-10-08,belt,bild,0
3,2020-10-08,they,they,1
3,2020-10-08,then,then,1
3,2020-10-08,long,long,1
3,2020-10-08,that,that,1
4,2020-11-12,feast,feast,1
4,2020-11-12,express,xpress,0
4,2020-11-12,people,people,1
4,2020-11-12,mule,,0
4,2020-11-12,bricks,d,0
4,2020-11-12,thin,d,0
4,2020-11-12,still,d,0
4,2020-11-12,made,d,0
4,2020-11-12,mix,d,0
4,2020-11-12,finished,d,0
4,2020-11-12,remarkable,d,0
4,2020-11-12,time,d,0
4,2020-11-12,says,d,0
4,2020-11-12,find,d,0
4,2020-11-12,home,d,0
4,2020-11-12,tip,d,0
4,2020-11-12,did,d,0
4,2020-11-12,use,d,0
4,2020-11-12,restless,d,0
4,2020-11-12,jobs,d,0
